stream;input_output;Name;mwname;protocol;port;sourceAddress;transmission;preserveHeaders;enableCorrection;networkInterface;encryption;passphrase;maxConnections;maxBandwidth;mwcore_address;mwedge;api_key
;output;Hong Kong_1.9_Mb;Hong Kong_1.9_Mb_output;SRT;6000;0;0;0;0;0;16;football2020;5;0;;;
;output;Hong Kong_1.9_Mb;Hong Kong_1.9_Mb_output;SRT;6001;0;0;0;0;0;16;football2020;5;0;;;
;output;Hong Kong_1.9_Mb;Hong Kong_1.9_Mb_output;SRT;6002;0;0;0;0;0;16;football2020;5;0;;;
;output;Hong Kong_1.9_Mb;Hong Kong_1.9_Mb_output;SRT;6003;0;0;0;0;0;16;football2020;5;0;;;
;output;Hong Kong_1.9_Mb;Hong Kong_1.9_Mb_output;SRT;6004;0;0;0;0;0;16;football2020;5;0;;;
;output;Hong Kong_2.6_Mb;Hong Kong_2.6_Mb_output;SRT;6005;0;0;0;0;0;16;football2020;5;0;;;
;output;Hong Kong_2.6_Mb;Hong Kong_2.6_Mb_output;SRT;6006;0;0;0;0;0;16;football2020;5;0;;;
;output;Hong Kong_2.6_Mb;Hong Kong_2.6_Mb_output;SRT;6007;0;0;0;0;0;16;football2020;5;0;;;
;output;Hong Kong_2.6_Mb;Hong Kong_2.6_Mb_output;SRT;6008;0;0;0;0;0;16;football2020;5;0;;;
;output;Hong Kong_2.6_Mb;Hong Kong_2.6_Mb_output;SRT;6009;0;0;0;0;0;16;football2020;5;0;;;
;output;CAP Dev_1.9_Mb;CAP Dev_1.9_Mb_output;SRT;6010;0;0;0;0;0;16;football2020;5;0;;;
;output;CAP Dev_1.9_Mb;CAP Dev_1.9_Mb_output;SRT;6011;0;0;0;0;0;16;football2020;5;0;;;
;output;CAP Dev_1.9_Mb;CAP Dev_1.9_Mb_output;SRT;6012;0;0;0;0;0;16;football2020;5;0;;;
;output;CAP Dev_1.9_Mb;CAP Dev_1.9_Mb_output;SRT;6013;0;0;0;0;0;16;football2020;5;0;;;
;output;CAP Dev_1.9_Mb;CAP Dev_1.9_Mb_output;SRT;6014;0;0;0;0;0;16;football2020;5;0;;;
;output;CAP Dev_2.6_Mb;CAP Dev_2.6_Mb_output;SRT;6015;0;0;0;0;0;16;football2020;5;0;;;
;output;CAP Dev_2.6_Mb;CAP Dev_2.6_Mb_output;SRT;6016;0;0;0;0;0;16;football2020;5;0;;;
;output;CAP Dev_2.6_Mb;CAP Dev_2.6_Mb_output;SRT;6017;0;0;0;0;0;16;football2020;5;0;;;
;output;CAP Dev_2.6_Mb;CAP Dev_2.6_Mb_output;SRT;6018;0;0;0;0;0;16;football2020;5;0;;;
;output;CAP Dev_2.6_Mb;CAP Dev_2.6_Mb_output;SRT;6019;0;0;0;0;0;16;football2020;5;0;;;
;output;SIS_ROTW_1.9_Mb;SIS_ROTW_1.9_Mb_output;SRT;6020;0;0;0;0;0;16;football2020;5;0;;;
;output;SIS_ROTW_1.9_Mb;SIS_ROTW_1.9_Mb_output;SRT;6021;0;0;0;0;0;16;football2020;5;0;;;
;output;SIS_ROTW_1.9_Mb;SIS_ROTW_1.9_Mb_output;SRT;6022;0;0;0;0;0;16;football2020;5;0;;;
;output;SIS_ROTW_1.9_Mb;SIS_ROTW_1.9_Mb_output;SRT;6023;0;0;0;0;0;16;football2020;5;0;;;
;output;SIS_ROTW_1.9_Mb;SIS_ROTW_1.9_Mb_output;SRT;6024;0;0;0;0;0;16;football2020;5;0;;;
;output;SIS_ROTW_2.6_Mb;SIS_ROTW_2.6_Mb_output;SRT;6025;0;0;0;0;0;16;football2020;5;0;;;
;output;SIS_ROTW_2.6_Mb;SIS_ROTW_2.6_Mb_output;SRT;6026;0;0;0;0;0;16;football2020;5;0;;;
;output;SIS_ROTW_2.6_Mb;SIS_ROTW_2.6_Mb_output;SRT;6027;0;0;0;0;0;16;football2020;5;0;;;
;output;SIS_ROTW_2.6_Mb;SIS_ROTW_2.6_Mb_output;SRT;6028;0;0;0;0;0;16;football2020;5;0;;;
;output;SIS_ROTW_2.6_Mb;SIS_ROTW_2.6_Mb_output;SRT;6029;0;0;0;0;0;16;football2020;5;0;;;
;output;LARC_1.9_Mb;LARC_1.9_Mb_output;SRT;6030;0;0;0;0;0;16;football2020;5;0;;;
;output;LARC_1.9_Mb;LARC_1.9_Mb_output;SRT;6031;0;0;0;0;0;16;football2020;5;0;;;
;output;LARC_1.9_Mb;LARC_1.9_Mb_output;SRT;6032;0;0;0;0;0;16;football2020;5;0;;;
;output;LARC_1.9_Mb;LARC_1.9_Mb_output;SRT;6033;0;0;0;0;0;16;football2020;5;0;;;
;output;LARC_1.9_Mb;LARC_1.9_Mb_output;SRT;6034;0;0;0;0;0;16;football2020;5;0;;;
;output;LARC_2.6_Mb;LARC_2.6_Mb_output;SRT;6035;0;0;0;0;0;16;football2020;5;0;;;
;output;LARC_2.6_Mb;LARC_2.6_Mb_output;SRT;6036;0;0;0;0;0;16;football2020;5;0;;;
;output;LARC_2.6_Mb;LARC_2.6_Mb_output;SRT;6037;0;0;0;0;0;16;football2020;5;0;;;
;output;LARC_2.6_Mb;LARC_2.6_Mb_output;SRT;6038;0;0;0;0;0;16;football2020;5;0;;;
;output;LARC_2.6_Mb;LARC_2.6_Mb_output;SRT;6039;0;0;0;0;0;16;football2020;5;0;;;
;output;LARC2_1.9_Mb;LARC2_1.9_Mb_output;SRT;6040;0;0;0;0;0;16;football2020;5;0;;;
;output;LARC2_1.9_Mb;LARC2_1.9_Mb_output;SRT;6041;0;0;0;0;0;16;football2020;5;0;;;
;output;LARC2_1.9_Mb;LARC2_1.9_Mb_output;SRT;6042;0;0;0;0;0;16;football2020;5;0;;;
;output;LARC2_1.9_Mb;LARC2_1.9_Mb_output;SRT;6043;0;0;0;0;0;16;football2020;5;0;;;
;output;LARC2_1.9_Mb;LARC2_1.9_Mb_output;SRT;6044;0;0;0;0;0;16;football2020;5;0;;;
;output;LARC2_2.6_Mb;LARC2_2.6_Mb_output;SRT;6045;0;0;0;0;0;16;football2020;5;0;;;
;output;LARC2_2.6_Mb;LARC2_2.6_Mb_output;SRT;6046;0;0;0;0;0;16;football2020;5;0;;;
;output;LARC2_2.6_Mb;LARC2_2.6_Mb_output;SRT;6047;0;0;0;0;0;16;football2020;5;0;;;
;output;LARC2_2.6_Mb;LARC2_2.6_Mb_output;SRT;6048;0;0;0;0;0;16;football2020;5;0;;;
;output;LARC2_2.6_Mb;LARC2_2.6_Mb_output;SRT;6049;0;0;0;0;0;16;football2020;5;0;;;
;output;SIS2_1.9_Mb;SIS2_1.9_Mb_output;SRT;6050;0;0;0;0;0;16;football2020;5;0;;;
;output;SIS2_1.9_Mb;SIS2_1.9_Mb_output;SRT;6051;0;0;0;0;0;16;football2020;5;0;;;
;output;SIS2_1.9_Mb;SIS2_1.9_Mb_output;SRT;6052;0;0;0;0;0;16;football2020;5;0;;;
;output;SIS2_1.9_Mb;SIS2_1.9_Mb_output;SRT;6053;0;0;0;0;0;16;football2020;5;0;;;
;output;SIS2_1.9_Mb;SIS2_1.9_Mb_output;SRT;6054;0;0;0;0;0;16;football2020;5;0;;;
;output;SIS2_2.6_Mb;SIS2_2.6_Mb_output;SRT;6055;0;0;0;0;0;16;football2020;5;0;;;
;output;SIS2_2.6_Mb;SIS2_2.6_Mb_output;SRT;6056;0;0;0;0;0;16;football2020;5;0;;;
;output;SIS2_2.6_Mb;SIS2_2.6_Mb_output;SRT;6057;0;0;0;0;0;16;football2020;5;0;;;
;output;SIS2_2.6_Mb;SIS2_2.6_Mb_output;SRT;6058;0;0;0;0;0;16;football2020;5;0;;;
;output;SIS2_2.6_Mb;SIS2_2.6_Mb_output;SRT;6059;0;0;0;0;0;16;football2020;5;0;;;
;output;Region2 Clean_1.9_Mb;Region2 Clean_1.9_Mb_output;SRT;6060;0;0;0;0;0;16;football2020;5;0;;;
;output;Region2 Clean_1.9_Mb;Region2 Clean_1.9_Mb_output;SRT;6061;0;0;0;0;0;16;football2020;5;0;;;
;output;Region2 Clean_1.9_Mb;Region2 Clean_1.9_Mb_output;SRT;6062;0;0;0;0;0;16;football2020;5;0;;;
;output;Region2 Clean_1.9_Mb;Region2 Clean_1.9_Mb_output;SRT;6063;0;0;0;0;0;16;football2020;5;0;;;
;output;Region2 Clean_1.9_Mb;Region2 Clean_1.9_Mb_output;SRT;6064;0;0;0;0;0;16;football2020;5;0;;;
;output;Region2 Clean_2.6_Mb;Region2 Clean_2.6_Mb_output;SRT;6065;0;0;0;0;0;16;football2020;5;0;;;
;output;Region2 Clean_2.6_Mb;Region2 Clean_2.6_Mb_output;SRT;6066;0;0;0;0;0;16;football2020;5;0;;;
;output;Region2 Clean_2.6_Mb;Region2 Clean_2.6_Mb_output;SRT;6067;0;0;0;0;0;16;football2020;5;0;;;
;output;Region2 Clean_2.6_Mb;Region2 Clean_2.6_Mb_output;SRT;6068;0;0;0;0;0;16;football2020;5;0;;;
;output;Region2 Clean_2.6_Mb;Region2 Clean_2.6_Mb_output;SRT;6069;0;0;0;0;0;16;football2020;5;0;;;
;output;SIS Euro_1.9_Mb;SIS Euro_1.9_Mb_output;SRT;6070;0;0;0;0;0;16;football2020;5;0;;;
;output;SIS Euro_1.9_Mb;SIS Euro_1.9_Mb_output;SRT;6071;0;0;0;0;0;16;football2020;5;0;;;
;output;SIS Euro_1.9_Mb;SIS Euro_1.9_Mb_output;SRT;6072;0;0;0;0;0;16;football2020;5;0;;;
;output;SIS Euro_1.9_Mb;SIS Euro_1.9_Mb_output;SRT;6073;0;0;0;0;0;16;football2020;5;0;;;
;output;SIS Euro_1.9_Mb;SIS Euro_1.9_Mb_output;SRT;6074;0;0;0;0;0;16;football2020;5;0;;;
;output;SIS Euro_2.6_Mb;SIS Euro_2.6_Mb_output;SRT;6075;0;0;0;0;0;16;football2020;5;0;;;
;output;SIS Euro_2.6_Mb;SIS Euro_2.6_Mb_output;SRT;6076;0;0;0;0;0;16;football2020;5;0;;;
;output;SIS Euro_2.6_Mb;SIS Euro_2.6_Mb_output;SRT;6077;0;0;0;0;0;16;football2020;5;0;;;
;output;SIS Euro_2.6_Mb;SIS Euro_2.6_Mb_output;SRT;6078;0;0;0;0;0;16;football2020;5;0;;;
;output;SIS Euro_2.6_Mb;SIS Euro_2.6_Mb_output;SRT;6079;0;0;0;0;0;16;football2020;5;0;;;
;output;Equida_1.9_Mb;Equida_1.9_Mb_output;SRT;6080;0;0;0;0;0;16;football2020;5;0;;;
;output;Equida_1.9_Mb;Equida_1.9_Mb_output;SRT;6081;0;0;0;0;0;16;football2020;5;0;;;
;output;Equida_1.9_Mb;Equida_1.9_Mb_output;SRT;6082;0;0;0;0;0;16;football2020;5;0;;;
;output;Equida_1.9_Mb;Equida_1.9_Mb_output;SRT;6083;0;0;0;0;0;16;football2020;5;0;;;
;output;Equida_1.9_Mb;Equida_1.9_Mb_output;SRT;6084;0;0;0;0;0;16;football2020;5;0;;;
;output;Equida_2.6_Mb;Equida_2.6_Mb_output;SRT;6085;0;0;0;0;0;16;football2020;5;0;;;
;output;Equida_2.6_Mb;Equida_2.6_Mb_output;SRT;6086;0;0;0;0;0;16;football2020;5;0;;;
;output;Equida_2.6_Mb;Equida_2.6_Mb_output;SRT;6087;0;0;0;0;0;16;football2020;5;0;;;
;output;Equida_2.6_Mb;Equida_2.6_Mb_output;SRT;6088;0;0;0;0;0;16;football2020;5;0;;;
;output;Equida_2.6_Mb;Equida_2.6_Mb_output;SRT;6089;0;0;0;0;0;16;football2020;5;0;;;
;output;SIS1_1.9_Mb;SIS1_1.9_Mb_output;SRT;6090;0;0;0;0;0;16;football2020;5;0;;;
;output;SIS1_1.9_Mb;SIS1_1.9_Mb_output;SRT;6091;0;0;0;0;0;16;football2020;5;0;;;
;output;SIS1_1.9_Mb;SIS1_1.9_Mb_output;SRT;6092;0;0;0;0;0;16;football2020;5;0;;;
;output;SIS1_1.9_Mb;SIS1_1.9_Mb_output;SRT;6093;0;0;0;0;0;16;football2020;5;0;;;
;output;SIS1_1.9_Mb;SIS1_1.9_Mb_output;SRT;6094;0;0;0;0;0;16;football2020;5;0;;;
;output;SIS1_2.6_Mb;SIS1_2.6_Mb_output;SRT;6095;0;0;0;0;0;16;football2020;5;0;;;
;output;SIS1_2.6_Mb;SIS1_2.6_Mb_output;SRT;6096;0;0;0;0;0;16;football2020;5;0;;;
;output;SIS1_2.6_Mb;SIS1_2.6_Mb_output;SRT;6097;0;0;0;0;0;16;football2020;5;0;;;
;output;SIS1_2.6_Mb;SIS1_2.6_Mb_output;SRT;6098;0;0;0;0;0;16;football2020;5;0;;;
;output;SIS1_2.6_Mb;SIS1_2.6_Mb_output;SRT;6099;0;0;0;0;0;16;football2020;5;0;;;
;output;RTVi_2.1_Mb;RTVi_2.1_Mb_output;SRT;6100;0;0;0;0;0;16;football2020;5;0;;;
;output;RTVi_2.1_Mb;RTVi_2.1_Mb_output;SRT;6101;0;0;0;0;0;16;football2020;5;0;;;
;output;RTVi_2.1_Mb;RTVi_2.1_Mb_output;SRT;6102;0;0;0;0;0;16;football2020;5;0;;;
;output;RTVi_2.1_Mb;RTVi_2.1_Mb_output;SRT;6103;0;0;0;0;0;16;football2020;5;0;;;
;output;RTVi_2.1_Mb;RTVi_2.1_Mb_output;SRT;6104;0;0;0;0;0;16;football2020;5;0;;;
;output;RTVi_4.1_Mb;RTVi_4.1_Mb_output;SRT;6105;0;0;0;0;0;16;football2020;5;0;;;
;output;RTVi_4.1_Mb;RTVi_4.1_Mb_output;SRT;6106;0;0;0;0;0;16;football2020;5;0;;;
;output;RTVi_4.1_Mb;RTVi_4.1_Mb_output;SRT;6107;0;0;0;0;0;16;football2020;5;0;;;
;output;RTVi_4.1_Mb;RTVi_4.1_Mb_output;SRT;6108;0;0;0;0;0;16;football2020;5;0;;;
;output;RTVi_4.1_Mb;RTVi_4.1_Mb_output;SRT;6109;0;0;0;0;0;16;football2020;5;0;;;
;output;LTV1_1.9_Mb;LTV1_1.9_Mb_output;SRT;6110;0;0;0;0;0;16;football2020;5;0;;;
;output;LTV1_1.9_Mb;LTV1_1.9_Mb_output;SRT;6111;0;0;0;0;0;16;football2020;5;0;;;
;output;LTV1_1.9_Mb;LTV1_1.9_Mb_output;SRT;6112;0;0;0;0;0;16;football2020;5;0;;;
;output;LTV1_1.9_Mb;LTV1_1.9_Mb_output;SRT;6113;0;0;0;0;0;16;football2020;5;0;;;
;output;LTV1_1.9_Mb;LTV1_1.9_Mb_output;SRT;6114;0;0;0;0;0;16;football2020;5;0;;;
;output;LTV1_2.6_Mb;LTV1_2.6_Mb_output;SRT;6115;0;0;0;0;0;16;football2020;5;0;;;
;output;LTV1_2.6_Mb;LTV1_2.6_Mb_output;SRT;6116;0;0;0;0;0;16;football2020;5;0;;;
;output;LTV1_2.6_Mb;LTV1_2.6_Mb_output;SRT;6117;0;0;0;0;0;16;football2020;5;0;;;
;output;LTV1_2.6_Mb;LTV1_2.6_Mb_output;SRT;6118;0;0;0;0;0;16;football2020;5;0;;;
;output;LTV1_2.6_Mb;LTV1_2.6_Mb_output;SRT;6119;0;0;0;0;0;16;football2020;5;0;;;
;output;LTV2_1.9_Mb;LTV2_1.9_Mb_output;SRT;6120;0;0;0;0;0;16;football2020;5;0;;;
;output;LTV2_1.9_Mb;LTV2_1.9_Mb_output;SRT;6121;0;0;0;0;0;16;football2020;5;0;;;
;output;LTV2_1.9_Mb;LTV2_1.9_Mb_output;SRT;6122;0;0;0;0;0;16;football2020;5;0;;;
;output;LTV2_1.9_Mb;LTV2_1.9_Mb_output;SRT;6123;0;0;0;0;0;16;football2020;5;0;;;
;output;LTV2_1.9_Mb;LTV2_1.9_Mb_output;SRT;6124;0;0;0;0;0;16;football2020;5;0;;;
;output;LTV2_2.6_Mb;LTV2_2.6_Mb_output;SRT;6125;0;0;0;0;0;16;football2020;5;0;;;
;output;LTV2_2.6_Mb;LTV2_2.6_Mb_output;SRT;6126;0;0;0;0;0;16;football2020;5;0;;;
;output;LTV2_2.6_Mb;LTV2_2.6_Mb_output;SRT;6127;0;0;0;0;0;16;football2020;5;0;;;
;output;LTV2_2.6_Mb;LTV2_2.6_Mb_output;SRT;6128;0;0;0;0;0;16;football2020;5;0;;;
;output;LTV2_2.6_Mb;LTV2_2.6_Mb_output;SRT;6129;0;0;0;0;0;16;football2020;5;0;;;
;output;LTV3_1.9_Mb;LTV3_1.9_Mb_output;SRT;6130;0;0;0;0;0;16;football2020;5;0;;;
;output;LTV3_1.9_Mb;LTV3_1.9_Mb_output;SRT;6131;0;0;0;0;0;16;football2020;5;0;;;
;output;LTV3_1.9_Mb;LTV3_1.9_Mb_output;SRT;6132;0;0;0;0;0;16;football2020;5;0;;;
;output;LTV3_1.9_Mb;LTV3_1.9_Mb_output;SRT;6133;0;0;0;0;0;16;football2020;5;0;;;
;output;LTV3_1.9_Mb;LTV3_1.9_Mb_output;SRT;6134;0;0;0;0;0;16;football2020;5;0;;;
;output;LTV3_2.6_Mb;LTV3_2.6_Mb_output;SRT;6135;0;0;0;0;0;16;football2020;5;0;;;
;output;LTV3_2.6_Mb;LTV3_2.6_Mb_output;SRT;6136;0;0;0;0;0;16;football2020;5;0;;;
;output;LTV3_2.6_Mb;LTV3_2.6_Mb_output;SRT;6137;0;0;0;0;0;16;football2020;5;0;;;
;output;LTV3_2.6_Mb;LTV3_2.6_Mb_output;SRT;6138;0;0;0;0;0;16;football2020;5;0;;;
;output;LTV3_2.6_Mb;LTV3_2.6_Mb_output;SRT;6139;0;0;0;0;0;16;football2020;5;0;;;
;output;Coral1_1.9_Mb;Coral1_1.9_Mb_output;SRT;6140;0;0;0;0;0;16;football2020;5;0;;;
;output;Coral1_1.9_Mb;Coral1_1.9_Mb_output;SRT;6141;0;0;0;0;0;16;football2020;5;0;;;
;output;Coral1_1.9_Mb;Coral1_1.9_Mb_output;SRT;6142;0;0;0;0;0;16;football2020;5;0;;;
;output;Coral1_1.9_Mb;Coral1_1.9_Mb_output;SRT;6143;0;0;0;0;0;16;football2020;5;0;;;
;output;Coral1_1.9_Mb;Coral1_1.9_Mb_output;SRT;6144;0;0;0;0;0;16;football2020;5;0;;;
;output;Coral1_2.6_Mb;Coral1_2.6_Mb_output;SRT;6145;0;0;0;0;0;16;football2020;5;0;;;
;output;Coral1_2.6_Mb;Coral1_2.6_Mb_output;SRT;6146;0;0;0;0;0;16;football2020;5;0;;;
;output;Coral1_2.6_Mb;Coral1_2.6_Mb_output;SRT;6147;0;0;0;0;0;16;football2020;5;0;;;
;output;Coral1_2.6_Mb;Coral1_2.6_Mb_output;SRT;6148;0;0;0;0;0;16;football2020;5;0;;;
;output;Coral1_2.6_Mb;Coral1_2.6_Mb_output;SRT;6149;0;0;0;0;0;16;football2020;5;0;;;
;output;Coral2_1.9_Mb;Coral2_1.9_Mb_output;SRT;6150;0;0;0;0;0;16;football2020;5;0;;;
;output;Coral2_1.9_Mb;Coral2_1.9_Mb_output;SRT;6151;0;0;0;0;0;16;football2020;5;0;;;
;output;Coral2_1.9_Mb;Coral2_1.9_Mb_output;SRT;6152;0;0;0;0;0;16;football2020;5;0;;;
;output;Coral2_1.9_Mb;Coral2_1.9_Mb_output;SRT;6153;0;0;0;0;0;16;football2020;5;0;;;
;output;Coral2_1.9_Mb;Coral2_1.9_Mb_output;SRT;6154;0;0;0;0;0;16;football2020;5;0;;;
;output;Coral2_2.6_Mb;Coral2_2.6_Mb_output;SRT;6155;0;0;0;0;0;16;football2020;5;0;;;
;output;Coral2_2.6_Mb;Coral2_2.6_Mb_output;SRT;6156;0;0;0;0;0;16;football2020;5;0;;;
;output;Coral2_2.6_Mb;Coral2_2.6_Mb_output;SRT;6157;0;0;0;0;0;16;football2020;5;0;;;
;output;Coral2_2.6_Mb;Coral2_2.6_Mb_output;SRT;6158;0;0;0;0;0;16;football2020;5;0;;;
;output;Coral2_2.6_Mb;Coral2_2.6_Mb_output;SRT;6159;0;0;0;0;0;16;football2020;5;0;;;
;output;SAC9_1.9_Mb;SAC9_1.9_Mb_output;SRT;6160;0;0;0;0;0;16;football2020;5;0;;;
;output;SAC9_1.9_Mb;SAC9_1.9_Mb_output;SRT;6161;0;0;0;0;0;16;football2020;5;0;;;
;output;SAC9_1.9_Mb;SAC9_1.9_Mb_output;SRT;6162;0;0;0;0;0;16;football2020;5;0;;;
;output;SAC9_1.9_Mb;SAC9_1.9_Mb_output;SRT;6163;0;0;0;0;0;16;football2020;5;0;;;
;output;SAC9_1.9_Mb;SAC9_1.9_Mb_output;SRT;6164;0;0;0;0;0;16;football2020;5;0;;;
;output;SAC9_2.6_Mb;SAC9_2.6_Mb_output;SRT;6165;0;0;0;0;0;16;football2020;5;0;;;
;output;SAC9_2.6_Mb;SAC9_2.6_Mb_output;SRT;6166;0;0;0;0;0;16;football2020;5;0;;;
;output;SAC9_2.6_Mb;SAC9_2.6_Mb_output;SRT;6167;0;0;0;0;0;16;football2020;5;0;;;
